Date,AAPL,CVX,DIS,FB,IBM,INTC,JNJ,KO,MCD,MSFT,NKE,PG,UTX,VZ
8/10/2018,0.001286809,-0.005740025,-0.012435604,0.0138534,-0.011296412,-0.009778065,-0.009135931,-0.011650646,0.015688178,0.008846438,0.024959019,-0.010991927,-0.005917591,0.003819006
8/3/2018,0.085321417,-0.015359065,0.012968235,0.016389626,0.01741558,0.040083563,0.003036051,0.008833443,-0.008097073,0.003337674,0.023775494,0.021485149,-0.004768745,0.004986636
7/27/2018,-0.002405819,0.029812108,0.010174123,-0.182664586,-0.008233385,-0.084999536,0.044296211,0.020330783,-0.003106795,0.013180799,-0.000909933,0.023861518,0.032254817,0.027089167
7/20/2018,0.000574737,-0.014372424,0.013364806,0.012558258,0.003079637,-0.005954065,-0.000635511,0.01199744,-0.003412505,0.007935788,-0.005442593,0.001061968,0.00577437,-0.015485921
7/13/2018,0.01771726,-0.000805788,0.048617485,0.019925204,0.023719786,0.016411199,0.001430421,0.002237692,-0.005724499,0.041343805,0.011699005,0,0.032249372,0.010166249
7/6/2018,0.015332167,-0.01827885,0.007719912,0.044832002,0.019704336,0.032848197,0.035699324,0.017627566,0.017272844,0.025530717,-0.040989281,0.015886413,0.002954947,0.022989503
6/29/2018,0.001027081,0.010575422,-0.014492265,-0.037473444,-0.01124648,-0.054607023,-0.012286199,0.014005493,-0.048945175,-0.018089125,0.08168607,0.00810346,0.00128041,0.010992423
6/22/2018,-0.020976825,0.008509216,-0.023329345,0.029630674,-0.028675894,-0.048517997,0.001874137,-0.019915911,-0.011540501,0.002792434,-0.0322933,0.00064613,-0.016204895,0.034761234
6/15/2018,-0.015031584,-0.019163734,0.045772177,0.035073083,-0.005145375,0.001089324,-0.011756764,0.012727195,-0.014610982,-0.014869304,0.012471935,0.002587907,-0.005500536,-0.02303684
6/8/2018,0.007645147,0.020696719,0.04544895,-0.02553063,0.029090175,-0.036212004,0.022828318,0.019065776,0.059455974,0.00829953,0.028987557,0.049535373,0.014205883,0.028252255
6/1/2018,0.008764171,0.013493923,-0.028181999,0.047883349,-0.011835288,0.029152547,-0.001730329,0.016838433,-0.018795576,0.024404946,0.009823412,-0.011640604,-0.009650455,-0.014741268
